id,question,intent,tokens,slots
1,Can I have a Green Mint please?,order,"['Can', 'I', 'have', 'a', 'Green', 'Mint', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
2,Give me one Latte.,order,"['Give', 'me', 'one', 'Latte', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
3,Give me one Green Mint.,order,"['Give', 'me', 'one', 'Green', 'Mint', '.']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
4,I'd like a cup of Chai tea.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Chai', 'tea', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'I-item', 'O']"
5,I’d like to order a Chai tea.,order,"['I’d', 'like', 'to', 'order', 'a', 'Chai', 'tea', '.']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
6,I'd like a cup of Black Tea.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Black', 'Tea', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'I-item', 'O']"
7,Give me one Cappuccino.,order,"['Give', 'me', 'one', 'Cappuccino', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
8,Give me one Mocha.,order,"['Give', 'me', 'one', 'Mocha', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
9,I’d like to order a Black Tea.,order,"['I’d', 'like', 'to', 'order', 'a', 'Black', 'Tea', '.']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
10,Can I have a Black Tea please?,order,"['Can', 'I', 'have', 'a', 'Black', 'Tea', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
11,Can I have a Hot Chocolate please?,order,"['Can', 'I', 'have', 'a', 'Hot', 'Chocolate', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
12,"One White Mocha to go, please.",order,"['One', 'White', 'Mocha', 'to', 'go', ',', 'please', '.']","['B-quantity', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
