id,question,intent
1,Good morning!,greeting
2,Good day!,greeting
3,"Hey, what's up?",greeting
4,"Hi, how are you?",greeting
5,Hey!,greeting
6,Hello!,greeting
7,"Hi, coffee time?",greeting
8,Hi there!,greeting
9,"Hello, is anyone there?",greeting
10,Good afternoon!,greeting
11,Take care!,goodbye
12,goodbye!,goodbye
13,See you soon!,goodbye
14,"Thanks, goodbye!",goodbye
15,Catch you next time!,goodbye
16,Talk later!,goodbye
17,See you later!,goodbye
18,Farewell!,goodbye
19,goodbye for now!,goodbye
20,goodbye!,goodbye
21,When can I visit in the morning?,open_time
22,Is the café open early in the morning?,open_time
23,Can I come in at 8:00 AM?,open_time
24,Do you open at 8:00?,open_time
25,What time do you open?,open_time
26,Are you open at 8 AM?,open_time
27,Are you open now? It’s 8:30 AM.,open_time
28,When do you start serving coffee?,open_time
29,Do you open every day at 8 AM?,open_time
30,What’s your opening hour?,open_time
31,What’s your last call?,close_time
32,Can I come by at 8:45 PM?,close_time
33,How late are you open?,close_time
34,When do you close?,close_time
35,Can I visit before you close?,close_time
36,Is 9 PM your closing time?,close_time
37,Are you open until 9 PM?,close_time
38,Are you still open at 20:59?,close_time
39,Will you be open after 8 PM?,close_time
40,Do you stop serving at 9 PM?,close_time
41,Can you tell me your location?,location
42,"Are you based in FPT, HCMC?",location
43,Where in FPT University are you?,location
44,Where is your café?,location
45,Is your café in Vietnam?,location
46,What’s your address?,location
47,Are you at FPT University?,location
48,Where can I find you?,location
49,Are you located in Ho Chi Minh City?,location
50,Where is the coffee shop located?,location
51,Thank you!,thank_you
52,I appreciate it!,thank_you
53,Thanks for your service!,thank_you
54,Really appreciate it!,thank_you
55,Thanks a lot!,thank_you
56,Much appreciated!,thank_you
57,"I’m grateful, thanks!",thank_you
58,Thanks for the help!,thank_you
59,Thanks!,thank_you
60,Thank you so much!,thank_you
62,Can I have a Green Mint please?,order
63,Give me one Latte.,order
64,Give me one Green Mint.,order
65,I'd like a cup of Chai tea.,order
66,I’d like to order a Chai tea.,order
67,I'd like a cup of Black Tea.,order
68,Give me one Cappuccino.,order
69,Give me one Mocha.,order
70,I’d like to order a Black Tea.,order
71,Can I have a Black Tea please?,order
72,Can I have a Hot Chocolate please?,order
73,"One White Mocha to go, please.",order
74,Give me one Hot Chocolate.,order
75,I’d like to order a Hot Chocolate.,order
76,Can I have a Latte please?,order
77,"One Chai tea to go, please.",order
78,Can I have a Americano please?,order
79,I'd like a cup of Latte.,order
80,"One Green Mint to go, please.",order
81,Can I have a Mocha please?,order
82,Give me one Chai tea.,order
83,I'd like a cup of Cappuccino.,order
84,Can I have a White Mocha please?,order
85,I'd like a cup of Mocha.,order
86,Give me one Americano.,order
87,I'd like a cup of Green Mint.,order
88,"One Cappuccino to go, please.",order
89,I’d like to order a Matcha Latte.,order
90,Give me one Black Tea.,order
91,I'd like a cup of Americano.,order
92,Give me one Matcha Latte.,order
93,Can I cancel my last order?,cancel_order
94,I want to cancel my order.,cancel_order
95,"I changed my mind, cancel the order.",cancel_order
96,Please cancel what I just ordered.,cancel_order
97,"Cancel my drink, please.",cancel_order
98,What’s on the menu today?,menu
99,What drinks do you have?,menu
100,Can I see the menu?,menu
101,Do you serve coffee and tea?,menu
102,Can you show me the drink options?,menu
103,Is there a special offer available?,promotion
104,Any deals on coffee now?,promotion
105,Are you running any promotions?,promotion
106,Do you have any discounts?,promotion
107,Are there any promotions today?,promotion
108,How much do you charge for Cappuccino?,price
109,What's the price for a cup of White Mocha?,price
110,What’s the price of Black Tea?,price
111,Can you tell me the cost of Americano?,price
112,How much is a Black Tea?,price
113,What's the price for a cup of Americano?,price
114,How much do you charge for Mocha?,price
115,Can you tell me the cost of Matcha Latte?,price
116,How much do you charge for White Mocha?,price
117,What’s the price of Cappuccino?,price
118,Can you tell me the cost of White Mocha?,price
119,What’s the price of Matcha Latte?,price
120,What's the price for a cup of Mocha?,price
121,What's the price for a cup of Latte?,price
122,How much is a Hot Chocolate?,price
123,How much is a Cappuccino?,price
124,Can you tell me the cost of Green Mint?,price
125,Can you tell me the cost of Hot Chocolate?,price
126,Can you tell me the cost of Chai tea?,price
127,How much is a White Mocha?,price
128,How much is a Green Mint?,price
129,How much is a Americano?,price
130,Can you tell me the cost of Black Tea?,price
131,How much is a Latte?,price
132,What’s the price of White Mocha?,price
133,What’s the price of Green Mint?,price
134,Can you tell me the cost of Mocha?,price
135,How much do you charge for Chai tea?,price
136,How much do you charge for Black Tea?,price
137,What's the price for a cup of Chai tea?,price
138,How much do you charge for Americano?,price
139,How much is a Matcha Latte?,price
140,What's the price for a cup of Black Tea?,price
141,Can I change my order?,change_order
142,I want to modify my order.,change_order
143,I want to update my drink choice.,change_order
144,I’d like to change what I ordered.,change_order
145,Can I switch my drink?,change_order
146,"I’d like to order one Americano, please",order
147,Can I get two Americanos?,order
148,I'd like to have three cups of Americano,order
149,Could I order an Americano?,order
150,Please give me one Americano,order
151,"May I have two Americanos, please?",order
152,I'd love to get an Americano,order
153,I want to order four Americanos,order
154,Let me order a single Americano,order
155,I’ll take one Americano to go,order
156,I’d like five Americanos for my friends and me,order
157,Can you make three Americanos for us?,order
158,I’d like to place an order for two Americanos,order
159,"I'd appreciate a hot Americano, please",order
160,"One Americano, thanks",order
161,I need an Americano to start my day,order
162,"Give me one cup of Americano, please",order
163,I’ll go with an Americano today,order
164,I want an Americano right now,order
165,I’d like to buy one Americano,order
166,"I’d like to order one Cappuccino, please",order
167,Can I get two Cappuccinos?,order
168,I'd like to have three cups of Cappuccino,order
169,Could I order a Cappuccino?,order
170,Please give me one Cappuccino,order
171,"May I have two Cappuccinos, please?",order
172,I'd love to get a Cappuccino,order
173,I want to order four Cappuccinos,order
174,Let me order a single Cappuccino,order
175,I’ll take one Cappuccino to go,order
176,I’d like five Cappuccinos for my friends and me,order
177,Can you make three Cappuccinos for us?,order
178,I’d like to place an order for two Cappuccinos,order
179,"I'd appreciate a hot Cappuccino, please",order
180,"One Cappuccino, thanks",order
181,I need a Cappuccino to start my day,order
182,"Give me one cup of Cappuccino, please",order
183,I’ll go with a Cappuccino today,order
184,I want a Cappuccino right now,order
185,I’d like to buy one Cappuccino,order
186,"I’d like to order one Latte, please",order
187,Can I get two Lattes?,order
188,I'd like to have three cups of Latte,order
189,Could I order a Latte?,order
190,Please give me one Latte,order
191,"May I have two Lattes, please?",order
192,I'd love to get a Latte,order
193,I want to order four Lattes,order
194,Let me order a single Latte,order
195,I’ll take one Latte to go,order
196,I’d like five Lattes for my friends and me,order
197,Can you make three Lattes for us?,order
198,I’d like to place an order for two Lattes,order
199,"I'd appreciate a hot Latte, please",order
200,"One Latte, thanks",order
201,I need a Latte to start my day,order
202,"Give me one cup of Latte, please",order
203,I’ll go with a Latte today,order
204,I want a Latte right now,order
205,I’d like to buy one Latte,order
206,"I’d like to order one Mocha, please",order
207,Can I get two Mochas?,order
208,I'd like to have three cups of Mocha,order
209,Could I order a Mocha?,order
210,Please give me one Mocha,order
211,"May I have two Mochas, please?",order
212,I'd love to get a Mocha,order
213,I want to order four Mochas,order
214,Let me order a single Mocha,order
215,I’ll take one Mocha to go,order
216,I’d like five Mochas for my friends and me,order
217,Can you make three Mochas for us?,order
218,I’d like to place an order for two Mochas,order
219,"I'd appreciate a hot Mocha, please",order
220,"One Mocha, thanks",order
221,I need a Mocha to start my day,order
