intent,response
greeting,Hello! Welcome to our café. What would you like to order today?
greeting,Hi there! Can I get you something warm or cold?
greeting,"Good morning! Welcome to our coffee shop. How can I help you today?"
greeting,"Hi there! Welcome! What can I get started for you?"
greeting,"Hello and welcome! What would you like to try today?"
greeting,"Good afternoon! Thanks for coming in. How may I assist you?"
greeting,"Welcome to our café! What brings you in today?"
greeting,"Hi! Great to see you here. What can I make for you?"
greeting,"Good morning! Welcome back! The usual today?"
greeting,"Hello! Welcome to our little coffee corner. What sounds good?"
greeting,"Hi there! First time here? Let me know what you'd like to try."
greeting,"Good day! Welcome! Our baristas are ready to craft something special for you."
greeting,"Hello! Welcome to the best coffee in town. What can we brew for you?"
greeting,"Hi! Thanks for stopping by. What's your coffee preference today?"
greeting,"Good morning! Welcome! Are you looking for something hot or cold today?"
greeting,"Hello there! Welcome to our café. What's calling your name from our menu?"
greeting,"Hi! Great to have you here. What kind of coffee experience are you after?"
greeting,"Good afternoon! Welcome! Ready to try something delicious?"
greeting,"Hello! Welcome to our cozy coffee spot. What can we prepare for you?"
greeting,"Hi there! Thanks for choosing us today. What would you like?"
greeting,"Good morning! Welcome! Looking for your caffeine fix?"
greeting,"Hello! Welcome back to our café family. What's on your mind today?"
greeting,"Hi! Welcome! Our fresh coffee is waiting for you. What's your order?"
greeting,"Good day! Thanks for visiting us. What can our team make for you?"
greeting,"Hello there! Welcome to coffee paradise. What's your pleasure?"
greeting,"Hi! Great seeing you again. Same as last time or trying something new?"
greeting,"Good morning! Welcome! Ready to start your day with great coffee?"
greeting,"Hello! Thanks for coming in today. What can we craft for you?"
greeting,"Hi there! Welcome to our favorite place. What sounds appealing?"
greeting,"Good afternoon! Welcome! What's your go-to coffee order?"
greeting,"Hello! Welcome! Our beans are freshly roasted. What would you like?"
greeting,"Hi! Thanks for stopping in. What kind of mood are you in for coffee?"
greeting,"Good morning! Welcome to caffeine central. How can we energize you?"
greeting,"Hello there! Welcome! What's your coffee story today?"
greeting,"Hi! Great to see a friendly face. What can we whip up for you?"
greeting,"Good day! Welcome to our coffee community. What's your order?"
greeting,"Hello! Thanks for choosing our café. What looks good to you?"
greeting,"Hi there! Welcome! Ready for some coffee magic?"
greeting,"Good morning! Welcome back, friend. What's brewing for you today?"
greeting,"Hello! Welcome to our happy place. What can we serve you?"
greeting,"Hi! Thanks for visiting. What's your perfect coffee moment?"
greeting,"Good afternoon! Welcome! Our menu is full of possibilities. What interests you?"
greeting,"Hello there! Welcome to coffee heaven. What's your heart set on?"
greeting,"Hi! Great day for coffee, isn't it? What can we make for you?"
greeting,"Good morning! Welcome! What's going to make your day better?"
greeting,"Hello! Thanks for coming by. What's your coffee adventure today?"
greeting,"Hi there! Welcome to the neighborhood's favorite spot. What's your order?"
greeting,"Good day! Welcome! What can we do to brighten your day?"
greeting,"Hello! Welcome to where great coffee happens. What would you like?"
greeting,"Hi! Thanks for being here. What's your coffee desire?"
greeting,"Good morning! Welcome to our coffee family. How can we take care of you?"
greeting,"Hello there! Welcome! What's going to hit the spot today?"
greeting,"Hi! Great to have you with us. What's your coffee calling?"
greeting,"Good afternoon! Welcome back! Ready for another great cup?"
greeting,"Hello! Thanks for trusting us with your coffee needs. What's your order?"
greeting,"Hi there! Welcome to quality coffee. What can we prepare?"
greeting,"Good morning! Welcome! What's your fuel of choice today?"
greeting,"Hello! Welcome to our coffee sanctuary. What speaks to you?"
greeting,"Hi! Thanks for making us part of your day. What would you like?"
greeting,"Good day! Welcome! What's your coffee personality today?"
greeting,"Hello there! Welcome to exceptional coffee. What's your preference?"
greeting,"Hi! Great seeing you here. What's going to make you smile?"
greeting,"Good morning! Welcome to your coffee home away from home. What's your order?"
greeting,"Hello! Thanks for choosing quality. What can we create for you?"
greeting,"Hi there! Welcome! What's your coffee inspiration today?"
greeting,"Good afternoon! Welcome to where passion meets coffee. What would you like?"
greeting,"Hello! Welcome back to great taste. What's calling to you?"
greeting,"Hi! Thanks for being a valued customer. What's your pleasure today?"
greeting,"Good morning! Welcome to artisan coffee. What can we craft?"
greeting,"Hello there! Welcome! What's going to be perfect for you?"
greeting,"Hi! Great day to enjoy premium coffee. What's your choice?"
greeting,"Good day! Welcome to coffee excellence. How can we serve you?"
greeting,"Hello! Thanks for making us your coffee destination. What's your order?"
greeting,"Hi there! Welcome to the best part of your day. What would you like?"
greeting,"Good morning! Welcome! What's going to complement your morning perfectly?"
greeting,"Hello! Welcome to coffee done right. What's your selection?"
greeting,"Hi! Thanks for your loyalty. What's brewing in your mind today?"
greeting,"Good afternoon! Welcome to your coffee retreat. What sounds perfect?"
greeting,"Hello there! Welcome! What's going to make this moment special?"
